"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스"
"고객","이거 한번 보러갈수있나요 ?","I","부동산","토지","1","9","매물나온땅보러가기요청","","Q","","이거 한번 보러 갈 수 있나요 ?","","","","이거","",""
"점원","지금 당장 가시죠!","I","부동산","토지","0","10","매물나온땅보러가기요청","","A","","","","","지금 당장 가시죠!","지금","",""
"고객","여기 땅값 오를까요?","I","부동산","토지","1","1","시세변동문의","","Q","","여기 땅값 오를까요?","","","","여기, 땅값","",""
"점원","네 아마 그럴 것 같습니다. ","I","부동산","토지","0","2","시세변동문의","","A","","","","","네 아마 그럴 것 같습니다. ","","",""
"고객","여기서 역까지는 얼마나 떨어져 있나요?","I","부동산","토지","1","3","역세권문의","","Q","","여기서 역까지는 얼마나 떨어져 있나요?","","","","여기, 역","","역/위치"
"점원","걸어서 10분정도 떨어져 있습니다. ","I","부동산","토지","0","4","역세권문의","","A","","","","","걸어서 10분 정도 떨어져 있습니다. ","10분","","10분/시간"
"고객","수수료는 몇 프로 인가요?","I","부동산","토지","1","5","중개보수문의","","Q","","수수료는 몇 프로인가요?","","","","수수료, 몇 프로","",""
"점원","0.4프로 인데 조절 가능합니다. ","I","부동산","토지","0","6","중개보수문의","","A","","","","","0.4프로인데 조절 가능합니다. ","0.4프로, 조절 가능","","0.4프로/수수료율"
"고객","이 땅은 왜 매물로 나왔나요?","I","부동산","토지","1","7","매물나온이유문의","","Q","","이 땅은 왜 매물로 나왔나요?","","","","땅, 매물","","땅/매물"
"점원","잘 모르겠습니다. ","I","부동산","토지","0","8","매물나온이유문의","","A","","","","","잘 모르겠습니다. ","","",""
"고객","언제 이 땅이 매물로 나왔나요? ","I","부동산","토지","1","9","매물나온시기","","Q","","언제 이 땅이 매물로 나왔나요? ","","","","언제, 땅, 매물","","땅/매물"
"점원","작년에 나왔습니다. ","I","부동산","토지","0","10","매물나온시기","","A","","","","","작년에 나왔습니다. ","작년","","작년/날짜"
"고객","외각지권으로 땅을 좀 보고 싶은데 볼 수 있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","외곽 지역으로 땅을 좀 보고 싶은데 볼 수 있나요?","","","","외곽 지역, 땅","","외곽 지역/위치, 땅/매물"
"점원","네, 외각지는 많이 있습니다.","I","부동산","토지","0","2","땅매수문의","","A","","","","","네, 외곽지는 많이 있습니다.","외곽지","","외곽지/위치"
"고객","이 땅은 좀 작아 보이는데 실제로도 그런가요?","I","부동산","토지","1","3","면적문의","","Q","","이 땅은 좀 작아 보이는데 실제로도 그런가요?","","","","땅","","땅/매물"
"점원","직접 가서 보시는걸 추천드립니다.","I","부동산","토지","0","4","면적문의","","A","","","","","직접 가서 보시는 걸 추천드립니다.","직접, 추천","",""
"고객","다음주 정도에 땅을 좀 보러 갈 수 있나요?","I","부동산","토지","1","5","매물보는시간약속정하기","","Q","","다음 주 정도에 땅을 좀 보러 갈 수 있나요?","","","","다음 주, 땅","","다음 주/날짜, 땅/매물"
"점원","네, 다음주 언제로 잡아드릴까요?","I","부동산","토지","0","6","매물보는시간약속정하기","매물보는시간","Q","","","네, 다음 주 언제로 잡아드릴까요?","","","다음 주, 언제","","다음 주/날짜"
"고객","땅주인과 직접 만나보고 싶은데 연락처를 알 수 있나요?","I","부동산","토지","1","7","땅주인연락처요청","","Q","","땅주인과 직접 만나보고 싶은데 연락처를 알 수 있나요?","","","","땅주인, 직접, 연락처","",""
"점원","네, 문자로 보내드리겠습니다.","I","부동산","토지","0","8","땅주인연락처요청","","A","","","","","네, 문자로 보내드리겠습니다.","문자","",""
"고객","계약을 하고 싶은데 수수료는 얼마나 되나요?","I","부동산","토지","1","9","중개보수문의","","Q","","계약을 하고 싶은데 수수료는 얼마나 되나요?","","","","계약, 수수료","",""
"점원","수수료는 10프로 정도 생각하시면 됩니다.","I","부동산","토지","0","10","중개보수문의","","A","","","","","수수료는 10프로 정도 생각하시면 됩니다.","수수료, 10프로, 생각","","10프로/수수료율"
"고객","요즘 혹시 판매하려고 내놓은 땅이 있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","요즘 혹시 판매하려고 내놓은 땅이 있나요?","","","","요즘, 판매, 내놓은 땅","","땅/매물"
"점원","요즘 그렇게 많지는 않은데 그래도 아예 없진 않습니다","I","부동산","토지","0","2","땅매수문의","","A","","","","","요즘 그렇게 많지는 않은데 그래도 아예 없진 않습니다","요즘, 판매, 내놓은 땅","","땅/매물"
"고객","몇 개 좀 찾아봐주실 수 있나요?","I","부동산","토지","1","3","땅매수문의","","Q","","몇 개 좀 찾아봐주실 수 있나요?","","","","몇 개","",""
"점원","무슨 용도로 필요하신데요?","I","부동산","토지","0","4","지목(땅의용도)문의","땅의용도","Q","","","무슨 용도로 필요하신데요?","","","무슨 용도, 필요","",""
"고객","주거할 집을 세우려고요","I","부동산","토지","1","5","지목(땅의용도)문의","땅의용도","A","","","","주거할 집을 세우려고요","","주거할 집","","주거할 집/용도"
"점원","임대사업용은 아니신거죠?","I","부동산","토지","0","6","지목(땅의용도)문의","땅의용도","Q","","","임대 사업용은 아니신 거죠?","","","임대 사업용","","임대 사업용/용도"
"고객","네 제가 살 집 지을 땅이 필요합니다","I","부동산","토지","1","7","지목(땅의용도)문의","땅의용도","A","","","","네 제가 살 집 지을 땅이 필요합니다","","집 지을 땅","","집 지을 땅/용도"
"점원","그럼 땅 몇 군데 찾아보겠습니다","I","부동산","토지","0","8","땅매수문의","","A","3","","","","그럼 땅 몇 군데 찾아보겠습니다","땅","","땅/매물"
"고객","네 제 연락처 알려드리겠습니다","I","부동산","토지","1","9","연락처제공","","Q","","네 제 연락처 알려드리겠습니다","","","","연락처","",""
"점원","그럼 이 연락처로 3일 이내로 연락드리겠습니다","I","부동산","토지","0","10","연락처제공","","A","","","","","그럼 이 연락처로 3일 이내로 연락드리겠습니다","연락처, 3일 이내","","3일 이내/기간"
"고객","땅을 팔 수 있나요?","I","부동산","토지","1","1","땅매도의뢰","","Q","","땅을 팔 수 있나요?","","","","땅","","땅/매물"
"점원","네, 몇 평정도 되시죠?","I","부동산","토지","0","2","면적문의","면적","Q","","","네, 몇 평 정도 되시죠?","","","몇 평","",""
"고객","200평 정도 되는 땅입니다.","I","부동산","토지","1","3","면적문의","면적","A","","","","200평 정도 되는 땅입니다.","","200평 정도 되는 땅","","200평/평수"
"점원","주위에 무엇이 있나요?","I","부동산","토지","0","4","땅매도의뢰","","Q","","","주위에 무엇이 있나요?","","","주위, 무엇","",""
"고객","과수원이랑 집들 드문드문 있습니다.","I","부동산","토지","1","5","땅매도의뢰","","A","","","","과수원이랑 집들 드문드문 있습니다.","","과수원, 집들","","과수원/주변, 집들/주변"
"점원","저희 부동산에 매물 올려놓도록 하겠습니다.","I","부동산","토지","0","6","땅매도의뢰","","A","1","","","","저희 부동산에 매물 올려놓도록 하겠습니다.","저희 부동산, 매물","",""
"고객","땅을 급하게 팔아야 하는데 빨리 가능할까요?","I","부동산","토지","1","7","빠른매도의뢰","","Q","","땅을 급하게 팔아야 하는데 빨리 가능할까요?","","","","땅","","땅/매물"
"점원","네, 대신 가격이 좀 내려가는데 괜찮으세요?","I","부동산","토지","0","8","매매가임대가조정문의","매매가하락","Q","","","네, 대신 가격이 좀 내려가는데 괜찮으세요?","","","가격","",""
"고객","네, 상관없습니다.","I","부동산","토지","1","9","매매가임대가조정문의","매매가하락","A","","","","네, 상관없습니다.","","","",""
"점원","그럼 가격 다운 시켜서 알아보겠습니다.","I","부동산","토지","0","10","빠른매도의뢰","","A","7","","","","그럼 가격 다운 시켜서 알아보겠습니다.","가격 다운","",""
"고객","농사 지을 토지를 찾고 있어요.","I","부동산","토지","1","1","땅매수문의","","Q","","농사지을 토지를 찾고 있어요.","","","","농사지을 토지","","농사지을 토지/용도"
"점원","몇 평 토지를 찾으시죠?","I","부동산","토지","0","2","면적문의","면적","Q","","","몇 평 토지를 찾으시죠?","","","몇 평, 토지","","토지/매물"
"고객","300평 정도 토지를 찾고 있어요.","I","부동산","토지","1","3","면적문의","면적","A","","","","300평 정도 토지를 찾고 있어요.","","300평 정도 토지","","300평 정도/평수, 토지/매물"
"점원","잠시만 기다려주세요.","I","부동산","토지","0","4","땅매수문의","","A","1","","","","잠시만 기다려주세요.","","",""
"고객","네, 직접 가볼 수 있나요?","I","부동산","토지","1","5","매물나온땅보러가기요청","","Q","","네, 직접 가볼 수 있나요?","","","","직접","",""
"점원","그럼요. 위치는 상관없으세요?","I","부동산","토지","0","6","위치문의","위치","Q","","","그럼요. 위치는 상관없으세요?","","","위치","",""
"고객","집과 가까우면 좋겠는데요.","I","부동산","토지","1","7","위치문의","위치","A","","","","집과 가까우면 좋겠는데요.","","집","",""
"점원","집이 어디신데요?","I","부동산","토지","0","8","위치문의","위치","Q","","","집이 어디신데요?","","","집, 어디","",""
"고객","#주소#인데요.","I","부동산","토지","1","9","위치문의","위치","A","","","","#주소#인데요.","","#주소#","","#주소#/위치"
"점원","네, 잠시만 기다려주세요.","I","부동산","토지","0","10","매물나온땅보러가기요청","","A","5","","","","네, 잠시만 기다려주세요.","","",""
"고객","전원주택용 토지를 보는데 매물이 있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","전원주택용 토지를 보는데 매물이 있나요?","","","","전원주택용, 토지, 매물","","전원주택/용도, 토지/매물"
"점원","대지건평은 어느 정도로 생각하시나요?","I","부동산","토지","0","2","면적문의","면적","Q","","","대지 건평은 어느 정도로 생각하시나요?","","","대지 건평","",""
"고객","100평 정도요","I","부동산","토지","1","3","면적문의","면적","A","","","","100평 정도요","","100평","","100평/평수"
"점원","네 이 위치에 괜찮은 매물이 있습니다","I","부동산","토지","0","4","땅매수문의","","A","1","","","","네 이 위치에 괜찮은 매물이 있습니다","이 위치, 괜찮은 매물","",""
"고객","저당권 설정은 되어 있나요?","I","부동산","토지","1","5","저당권설정여부문의","","Q","","저당권 설정은 되어 있나요?","","","","저당권 설정","",""
"점원","아뇨 등기부등본 보여드릴게요","I","부동산","토지","0","6","저당권설정여부문의","","A","","","","","아뇨 등기부등본 보여드릴게요","등기부등본","",""
"고객","괜찮은데 계약 전에 한번 둘러봐야겠어요","I","부동산","토지","1","7","매물나온땅보러가기요청","","Q","","괜찮은데 계약 전에 한번 둘러봐야겠어요","","","","계약 전","",""
"점원","괜찮은 날짜 골라 주시면 그날 뵙겠습니다","I","부동산","토지","0","8","매물보는시간약속정하기","매물보는시간","Q","","","괜찮은 날짜 골라 주시면 그날 뵙겠습니다","","","괜찮은 날짜, 그날","",""
"고객","다음 주 화요일이 괜찮을 것 같네요","I","부동산","토지","1","9","매물보는시간약속정하기","매물보는시간","A","","","","다음 주 화요일이 괜찮을 것 같네요","","다음 주 화요일","","다음 주 화요일/날짜"
"점원","그럼 화요일에 뵙겠습니다","I","부동산","토지","0","10","매물나온땅보러가기요청","","A","7","","","","그럼 화요일에 뵙겠습니다","화요일","","화요일/요일"
"고객","제가 보고 온 땅이 있는데 주인과 연락 할 수 있나요?","I","부동산","토지","1","1","땅주인연락처요청","","Q","","제가 보고 온 땅이 있는데 주인과 연락할 수 있나요?","","","","제가 보고 온 땅, 주인, 연락","","제가 보고 온 땅/매물"
"점원","알아보겠습니다.","I","부동산","토지","0","2","땅주인연락처요청","","A","","","","","알아보겠습니다.","","",""
"고객","공시지가가 얼마인가요?","I","부동산","토지","1","3","공지시가문의","","Q","","공시지가가 얼마인가요?","","","","공시지가, 얼마","",""
"점원","알아보고 알려드리겠습니다.","I","부동산","토지","0","4","공지시가문의","","A","","","","","알아보고 알려드리겠습니다.","","",""
"고객","계약금은 언제까지 줘야하나요?","I","부동산","토지","1","5","계약금문의","","Q","","계약금은 언제까지 줘야 하나요?","","","","계약금, 언제","",""
"점원","계약서 작성 날 주시면 됩니다.","I","부동산","토지","0","6","계약금문의","","A","","","","","계약서 작성 날 주시면 됩니다.","계약서 작성 날","","계약서 작성 날날짜"
"고객","잔금 날짜를 미룰 수 있을까요?","I","부동산","토지","1","7","잔금","","Q","","잔금 날짜를 미룰 수 있을까요?","","","","잔금 날짜","","잔금 날짜/날짜"
"점원","힘들 것 같습니다.","I","부동산","토지","0","8","잔금","","A","","","","","힘들 것 같습니다.","","",""
"고객","제 땅 옆의 땅을 사고 싶은데 가능한가요?","I","부동산","토지","1","9","땅매수문의","","Q","","제 땅 옆의 땅을 사고 싶은데 가능한가요?","","","","제 땅 옆의 땅, 가능","","제 땅 옆의 땅/매물"
"점원","땅주인과 연락해서 알려드리겠습니다.","I","부동산","토지","0","10","땅매수문의","","A","","","","","땅주인과 연락해서 알려드리겠습니다.","땅주인, 연락","",""
"고객","#주소#에 거주용 토지가 있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","#주소#에 거주용 토지가 있나요?","","","","#주소#, 거주용, 토지","","#주소#/위치, 거주용/용도, 토지/매물"
"점원","네 있습니다","I","부동산","토지","0","2","땅매수문의","","A","","","","","네 있습니다","","",""
"고객","어디에요?","I","부동산","토지","1","3","위치문의","","Q","","어디에요?","","","","어디","",""
"점원","#주소#에 있습니다","I","부동산","토지","0","4","위치문의","","A","","","","","#주소#에 있습니다","#주소#","","#주소#/위치"
"고객","면적은 얼마인가요?","I","부동산","토지","1","5","면적문의","","Q","","면적은 얼마인가요?","","","","면적, 얼마","",""
"점원","18평입니다","I","부동산","토지","0","6","면적문의","","A","","","","","18평입니다","18평","","18평/평수"
"고객","토지대장부를 볼 수 있을까요?","I","부동산","토지","1","7","토지대장토지등기부등본열람요청","","Q","","토지대장부를 볼 수 있을까요?","","","","토지대장부","",""
"점원","여기 있습니다","I","부동산","토지","0","8","토지대장토지등기부등본열람요청","","A","","","","","여기 있습니다","여기","",""
"고객","언제 계약할 수 있나요?","I","부동산","토지","1","9","계약시기문의","","Q","","언제 계약할 수 있나요?","","","","언제, 계약","",""
"점원","1일에 할 수 있어요","I","부동산","토지","0","10","계약시기문의","","A","","","","","1일에 할 수 있어요","1일","","1일/날짜"
"고객","여윳돈으로 땅을 매입해놓고 싶은데 어떨까요?","I","부동산","토지","1","1","땅매수문의","","Q","","여윳돈으로 땅을 매입해놓고 싶은데 어떨까요?","","","","여윳돈, 땅, 매입","","땅/매물"
"점원","투자가치가 있는 땅으로 보여드리겠습니다","I","부동산","토지","0","2","땅매수문의","","A","","","","","투자가치가 있는 땅으로 보여드리겠습니다","투자가치가 있는 땅","","투자가치가 있는 땅/매물"
"고객","일억정도로 매입가능한 땅이 있나요?","I","부동산","토지","1","3","희망매매가매물문의","","Q","","일억 정도로 매입 가능한 땅이 있나요?","","","","일억, 매입 가능한 땅","","일억/금액, 매입 가능한 땅/매물"
"점원","네 시외곽쪽으로 나가면 매입가능합니다","I","부동산","토지","0","4","희망매매가매물문의","","A","","","","","네 시 외곽 쪽으로 나가면 매입 가능합니다","시 외곽 쪽, 매입 가능","","시 외곽 쪽/위치"
"고객","평당 단가가 얼마인가요?","I","부동산","토지","1","5","매매가문의","","Q","","평당 단가가 얼마인가요?","","","","평당 단가, 얼마","",""
"점원","다양하게 있는데 이삼백정도로 생각하시면 될 것 같습니다","I","부동산","토지","0","6","매매가문의","","A","","","","","다양하게 있는데 이삼백 정도로 생각하시면 될 것 같습니다","다양, 이삼백, 정도, 생각","","이삼백/평당금액"
"고객","언제 가서 볼 수 있을까요?","I","부동산","토지","1","7","매물나온땅보러가기요청","","Q","","언제 가서 볼 수 있을까요?","","","","언제","",""
"점원","금요일에 가능합니다","I","부동산","토지","0","8","매물나온땅보러가기요청","","A","","","","","금요일에 가능합니다","금요일, 가능","","금요일/요일"
"고객","토지거래대장을 볼 수 있나요?","I","부동산","토지","1","9","토지대장토지등기부등본열람요청","","Q","","토지 거래대장을 볼 수 있나요?","","","","토지, 거래대장","","토지/매물"
"점원","물론입니다","I","부동산","토지","0","10","토지대장토지등기부등본열람요청","","A","","","","","물론입니다","","",""
"고객","이 땅에 건물을 지을 수 있나요?","I","부동산","토지","1","1","지목(땅의용도)문의","","Q","","이 땅에 건물을 지을 수 있나요?","","","","이 땅, 건물","","이 땅/매물, 건물/용도"
"점원","아뇨, 지을 수 없습니다.","I","부동산","토지","0","2","지목(땅의용도)문의","","A","","","","","아뇨, 지을 수 없습니다.","","",""
"고객","그럼 건물 짓기에 적합한 땅은 어디인가요?","I","부동산","토지","1","3","용도별적합한땅문의","","Q","","그럼 건물 짓기에 적합한 땅은 어디인가요?","","","","건물 짓기에 적합한 땅, 어디","","건물 짓기에 적합한 땅/매물"
"점원","지금 보여드리는 이쪽 부근이 적당합니다.","I","부동산","토지","0","4","용도별적합한땅문의","","A","","","","","지금 보여드리는 이쪽 부근이 적당합니다.","이쪽 부근, 적당","","이쪽 부근/위치"
"고객","몇 층까지 허가되어있나요?","I","부동산","토지","1","5","허가된층수문의","","Q","","몇 층까지 허가되어있나요?","","","","몇 층, 허가","",""
"점원","5층까지 가능합니다.","I","부동산","토지","0","6","허가된층수문의","","A","","","","","5층까지 가능합니다.","5층, 가능","","5층/층수"
"고객","땅을 직접 한번 볼 수 있을까요?","I","부동산","토지","1","7","매물나온땅보러가기요청","","Q","","땅을 직접 한번 볼 수 있을까요?","","","","땅, 직접","","땅/매물"
"점원","지금은 안 되고, 이번주 중으로 가능합니다.","I","부동산","토지","0","8","매물나온땅보러가기요청","","A","","","","","지금은 안 되고, 이번 주 중으로 가능합니다.","지금, 이번 주 중, 가능","","지금/시간, 이번 주 중/날짜"
"고객","토지에 대한 정보를 메일로 보내 주셨으면 좋겠습니다.","I","부동산","토지","1","9","토지정보요청","","Q","","토지에 대한 정보를 메일로 보내 주셨으면 좋겠습니다.","","","","토지, 정보, 메일","","토지/매물"
"점원","네. 메일 주소 알려주세요.","I","부동산","토지","0","10","토지정보요청","","A","","","","","네. 메일 주소 알려주세요.","메일 주소","",""
"고객","토지 매물있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","토지 매물 있나요?","","","","토지, 매물","","토지/매물"
"점원","네, 있습니다.","I","부동산","토지","0","2","땅매수문의","","A","","","","","네, 있습니다.","","",""
"고객","시세 5억 넘지 않게 거래 가능한가요?","I","부동산","토지","1","3","희망매매가매물문의","","Q","","시세 5억 넘지 않게 거래 가능한가요?","","","","시세, 5억, 거래, 가능","","5억/금액"
"점원","네, 가능합니다.","I","부동산","토지","0","4","희망매매가매물문의","","A","","","","","네, 가능합니다.","가능","",""
"고객","지금 매물 보러 가도 되나요?","I","부동산","토지","1","5","매물나온땅보러가기요청","","Q","","지금 매물 보러 가도 되나요?","","","","지금, 매물","",""
"점원","네, 가능합니다.","I","부동산","토지","0","6","매물나온땅보러가기요청","","A","","","","","네, 가능합니다.","가능","",""
"고객","부동산 위치 문자로 전송 가능한가요?","I","부동산","토지","1","7","부동산관련정보문의","","Q","","부동산 위치 문자로 전송 가능한가요?","","","","부동산 위치, 문자, 전송 가능","",""
"점원","네, 전송 해 드리겠습니다.","I","부동산","토지","0","8","부동산관련정보문의","","A","","","","","네, 전송해 드리겠습니다.","전송","",""
"고객","부동산 몇시 까지 영업하나요?","I","부동산","토지","1","9","영업시간문의","","Q","","부동산 몇 시까지 영업하나요?","","","","부동산, 몇 시, 영업","",""
"점원","오후 7시까지 하고 있습니다.","I","부동산","토지","0","10","영업시간문의","","A","","","","","오후 7시까지 하고 있습니다.","오후 7시","","오후 7시/마감시간"
"고객","지금 이 임야는 평 당 얼만가요?","I","부동산","토지","1","1","매매가문의","","Q","","지금 이 임야는 평당 얼만가요?","","","","지금, 임야, 평 당 얼마","","임야/매물"
"점원","평당 2000원입니다","I","부동산","토지","0","2","매매가문의","","A","","","","","평당 2000원입니다","평당 2000원","","평당 2000원/평당가"
"고객","지금 이게 얼마나 오른건가요?","I","부동산","토지","1","3","시세변동문의","","Q","","지금 이게 얼마나 오른 건가요?","","","","지금","",""
"점원","크게 변동은 없는 땅입니다","I","부동산","토지","0","4","시세변동문의","","A","","","","","크게 변동은 없는 땅입니다","크케 변동은 없는 땅","","크케 변동은 없는 땅/매물"
"고객","앞으로도 오를 가능성이 없다는 소린가요?","I","부동산","토지","1","5","시세변동문의","","Q","","앞으로도 오를 가능성이 없다는 소린가요?","","","","","",""
"점원","네 그렇습니다","I","부동산","토지","0","6","시세변동문의","","A","","","","","네 그렇습니다","","",""
"고객","이 땅 주인이 내놓은지 얼마나 되었죠?","I","부동산","토지","1","7","매물나온시기","","Q","","이 땅 주인이 내놓은지 얼마나 되었죠?","","","","땅 주인","",""
"점원","5년은 됐을겁니다","I","부동산","토지","0","8","매물나온시기","","A","","","","","5년은 됐을 겁니다","5년","","5년/기간"
"고객","이 주변은 다 이런가요?","I","부동산","토지","1","9","시세비교문의","","Q","","이 주변은 다 이런가요?","","","","이 주변","","이 주변/위치"
"점원","비슷한 상황입니다 ","I","부동산","토지","0","10","시세비교문의","","A","","","","","비슷한 상황입니다 ","비슷한 상황","",""
"고객","혹시 저렴하게 나온 땅 있나요?","I","부동산","토지","1","1","매매가문의","","Q","","혹시 저렴하게 나온 땅 있나요?","","","","저렴하게 나온 땅","","저렴하게 나온 땅/매물"
"점원","평택쪽에 요새 괜찮아요","I","부동산","토지","0","2","매매가문의","","A","","","","","평택 쪽에 요새 괜찮아요","평택 쪽","","평택 쪽/위치"
"고객","시세가 어떻게 되나요?","I","부동산","토지","1","3","시세문의","","Q","","시세가 어떻게 되나요?","","","","시세, 5억, 거래, 가능","","5억/금액"
"점원","평당 20만원이에요 ","I","부동산","토지","0","4","시세문의","","A","","","","","평당 20만 원이에요 ","평당 20만 원","","평당 20만 원/펑당가"
"고객","혹시 주변엔 들어온게 있나요?","I","부동산","토지","1","5","주변시설문의","","Q","","혹시 주변엔 들어온 게 있나요?","","","","주변","",""
"점원","한번 같이 가서 보시고 다시 얘기 나누실까요?","I","부동산","토지","0","6","매물나온땅보러가기요청","추후방문","Q","","","한번 같이 가서 보시고 다시 얘기 나누실까요?","","","얘기","",""
"고객","그럼 주말에 한번 방문할게요","I","부동산","토지","1","7","매물나온땅보러가기요청","추후방문","A","","","","그럼 주말에 한번 방문할게요","","주말, 방문","","주말/날짜"
"점원","시간은 몇시로 약속잡을까요?","I","부동산","토지","0","8","매물나온땅보러가기요청","방문시간예약","Q","","","시간은 몇 시로 약속 잡을까요?","","","시간, 몇 시, 약속","",""
"고객","네 2시이후로 잡아주세요","I","부동산","토지","1","9","매물나온땅보러가기요청","방문시간예약","A","","","","네 2시 이후로 잡아주세요","","2시 이후","","2시 이후/시간"
"점원","그때 뵙겠습니다","I","부동산","토지","0","10","","","A","","","","","그때 뵙겠습니다","","",""
"고객","이 지역 괜찮은 땅 있을까요?","I","부동산","토지","1","1","땅매수문의","","Q","","이 지역 괜찮은 땅 있을까요?","","","","지역, 땅","","땅/매물"
"점원","어떤 용도로 쓰시는 건가요?","I","부동산","토지","0","2","지목(땅의용도)문의","땅의용도","Q","","","어떤 용도로 쓰시는 건가요?","","","용도","","용도"
"고객","집을 지으려고 하는데요, 땅 추천해주실수 있나요?","I","부동산","토지","1","3","땅추천요청","","Q","","집을 지으려고 하는데요, 땅 추천해주실 수 있나요?","","","","집, 땅, 추천","","집/용도, 땅/매물"
"점원","잠시만요, 리스트 좀 보고 말씀드릴게요.","I","부동산","토지","0","4","땅추천요청","","A","","","","","잠시만요, 리스트 좀 보고 말씀드릴게요.","리스트, 말씀","",""
"고객","천천히 보셔도 되요. ","I","부동산","토지","1","5","","","A","","","","천천히 보셔도 되요. ","","","",""
"점원","이쪽 바다 근접한 지역은 어떠세요?","I","부동산","토지","0","6","위치문의","위치","Q","","","이쪽 바다 근접한 지역은 어떠세요?","","","이쪽 바다 근접 지역","","이쪽 바다 근접 지역/위치"
"고객","바다쪽은 비싸지 않나요?","I","부동산","토지","1","7","시세문의","","Q","","바다쪽은 비싸지 않나요?","","","","바다쪽","","바다쪽/위치"
"점원","비교적 높은 가격대를 형성하긴 하지만 이매물은 싸게 올라왔네요.","I","부동산","토지","0","8","시세문의","","A","","","","","비교적 높은 가격대를 형성하긴 하지만 이매물은 싸게 올라왔네요.","가격대, 형성","",""
"고객","얼마나 싸게 올라왔나요 ?","I","부동산","토지","1","9","시세문의","","Q","","얼마나 싸게 올라왔나요 ?","","","","","",""
